,1,4,5,6,7,8,10,11,12,13,14,15,17,22,23,24,25,31,32,34,35,37,38,39,40,42,43,46,47,50
25,-8.3,-0.30000000000000027,-8.5,-8.700000000000001,12.6,-10.0,9.299999999999999,13.0,-10.0,-9.700000000000001,11.5,-10.5,-11.600000000000001,-9.700000000000001,-10.3,-10.5,0.0,13.8,12.5,12.299999999999999,-9.7,-8.9,3.4,14.700000000000001,12.4,-6.199999999999999,0.8,13.7,12.6,14.4
31,-10.4,2.3000000000000003,-10.4,-7.5,12.3,12.1,1.8,3.4,-10.4,0.7000000000000001,0.30000000000000004,2.8000000000000003,12.700000000000001,12.1,-10.4,2.5,-9.399999999999999,0.0,-8.9,-9.9,-10.200000000000001,-9.8,-0.9000000000000001,-8.7,-9.8,-9.1,-0.2,0.7000000000000002,1.5,-8.700000000000001
32,2.7,1.9000000000000001,2.8000000000000003,13.2,14.0,11.0,10.2,3.0999999999999996,-9.4,-9.899999999999999,-10.799999999999999,11.3,-8.1,-9.3,13.700000000000001,11.5,-10.2,11.7,0.0,2.1,-7.4,-8.2,14.0,12.200000000000001,-9.1,4.7,11.3,5.5,14.0,6.6000000000000005
34,13.5,12.6,13.3,13.3,11.0,11.2,11.2,13.600000000000001,14.200000000000001,12.4,11.899999999999999,13.5,10.8,10.799999999999999,13.6,12.5,-8.2,11.5,2.9,0.0,13.0,17.5,2.1,16.5,-9.4,-7.6,1.1,15.900000000000002,13.8,15.3
35,-7.1,14.4,3.5000000000000004,13.6,11.5,11.1,11.0,2.4000000000000004,3.6000000000000005,4.0,13.0,13.4,11.5,11.1,11.5,11.5,11.7,11.1,14.1,-9.100000000000001,0.0,-7.1,-7.4,3.3000000000000003,11.5,3.9,11.5,3.7,3.7,4.300000000000001
37,13.7,13.1,13.4,13.0,11.6,10.799999999999999,11.4,13.1,13.899999999999999,12.8,12.1,12.799999999999999,11.2,11.5,13.3,11.4,12.3,11.6,13.1,-7.2,13.5,0.0,12.0,14.700000000000001,11.6,-7.4,11.5,3.9,-8.0,5.7
38,3.1,1.9000000000000004,2.8000000000000003,4.1000000000000005,-10.8,12.8,0.4,16.0,3.7,-7.699999999999999,-1.1,3.4,2.2,1.3,2.8000000000000003,1.8000000000000003,3.2,-0.9000000000000001,-8.3,3.2,13.900000000000002,-10.3,0.0,1.5,-10.5,-8.5,-1.6,2.6,1.6000000000000003,2.8000000000000003
39,-9.9,1.9000000000000004,-9.9,3.1000000000000005,1.1,-2.7,10.2,3.2,4.0,2.7,-0.2999999999999998,-0.20000000000000018,11.399999999999999,-0.6,3.9000000000000004,0.5,-8.4,10.5,-10.1,-7.3999999999999995,3.6000000000000005,-8.5,3.5,0.0,-9.6,3.2,-0.4,2.1,3.2,3.7
40,-10.2,12.899999999999999,-10.2,14.0,12.0,11.4,11.4,13.299999999999999,-10.2,12.9,12.1,13.0,12.200000000000001,11.8,-10.2,11.5,-7.5,12.200000000000001,13.200000000000001,12.8,-10.2,-7.699999999999999,12.3,12.2,0.0,-10.6,0.9000000000000001,-10.6,4.3,-10.0
42,15.2,3.6,3.7,14.600000000000001,13.4,11.3,11.0,15.100000000000001,14.7,14.3,12.799999999999999,2.9000000000000004,-0.7000000000000001,10.1,3.8000000000000003,14.600000000000001,16.099999999999998,12.299999999999999,4.1000000000000005,13.799999999999999,5.0,14.9,13.5,3.6,11.3,0.0,0.30000000000000004,3.3000000000000003,3.5000000000000004,3.2
43,-10.3,2.4000000000000004,-10.3,2.7,1.7000000000000002,1.0,3.4000000000000004,2.5,-10.3,-10.3,1.5000000000000002,2.5,2.4,1.3,-10.3,11.600000000000001,1.4000000000000001,2.3,-9.8,3.8,-10.3,-9.8,0.4,2.0,0.9000000000000001,4.2,0.0,-9.8,-10.3,-10.3
46,3.7,2.6,4.0,2.0,3.2,-8.3,-0.09999999999999998,4.5,3.4000000000000004,-8.2,0.5,12.4,11.899999999999999,-8.1,3.7,3.2,-9.600000000000001,1.4,4.300000000000001,-7.8,3.9000000000000004,4.2,1.8,2.3,10.5,2.9000000000000004,11.4,0.0,2.9,3.3000000000000003
47,2.6,0.0,2.2,1.5,-10.7,10.0,10.5,2.3,2.3000000000000003,-10.3,-1.0,0.5,1.7000000000000002,-11.200000000000001,2.1,2.2,-11.100000000000001,0.30000000000000004,-8.9,-9.6,2.3000000000000003,11.1,-0.8,2.2,-0.5,1.6,10.0,1.8000000000000003,0.0,-6.3999999999999995
50,4.4,3.4,14.7,3.1,4.6000000000000005,11.5,11.2,4.0,14.3,13.4,2.4,3.3000000000000003,6.300000000000001,11.1,3.8000000000000003,13.399999999999999,-7.3,12.9,4.300000000000001,-7.5,3.5,4.9,2.9000000000000004,2.9000000000000004,11.600000000000001,3.5,11.1,3.7,14.8,0.0
