,Vanilla,CoT,PLAP,Seen,Unseen,ACE
Vanilla,0.0,8.0,17.2,4.6533333333333315,7.12,-7.0
CoT,39.2,0.0,-7.0,2.826666666666668,8.940000000000001,-7.0
PLAP,61.2,28.0,0.0,17.873333333333335,19.259999999999998,12.333333333333334
Seen,41.393333333333345,36.83333333333334,43.29333333333336,0.0,32.78566666666688,15.08222222222222
Unseen,43.20000000000001,32.38,24.699999999999996,27.64666666666675,0.0,6.046666666666667
ACE,18.0,18.0,43.73333333333333,38.84000000000001,30.47,0.0
