,seen payoff,seen win rate,unseen payoff,unseen win rate
ace,55.49466666666665,0.9,52.261,0.95
no_greedy,59.83155555555557,0.8888888888888891,55.419000000000004,0.9166666666666666
no_sen,51.17644444444445,0.7888888888888891,49.82333333333334,0.9166666666666666
fixed,56.596,0.9666666666666667,51.449,0.95
no_tips,40.690666666666665,0.4333333333333333,45.200333333333326,0.6666666666666667
